Premium Refill Stations, User Address: 35 Christian Reesor Park Avenue, Markham
Station Name, Station Address, Station Price, Displacement, Maps Link
"Canadian Tire", "7660 Markham Rd, Markham, ON, Canada", "177.2 cents", "4.79 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7660+Markham+Rd%2C+Markham%2C+ON%2C+Canada"
"Pioneer", "6375 Major Mackenzie Dr E, Markham, ON, Canada", "177.9 cents", "2.96 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=6375+Major+Mackenzie+Dr+E%2C+Markham%2C+ON%2C+Canada"
"Pioneer", "5 Main St N, Markham, ON, Canada", "177.9 cents", "2.95 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5+Main+St+N%2C+Markham%2C+ON%2C+Canada"
"Esso", "5965 Hwy 7 E, Markham, ON, Canada", "186.9 cents", "3.05 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5965+Hwy+7+E%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "5739 Hwy 7 E, Markham, ON, Canada", "187.9 cents", "3.64 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5739+Hwy+7+E%2C+Markham%2C+ON%2C+Canada"
"Esso", "550 Bur Oak Ave, Markham, ON, Canada", "189.9 cents", "4.78 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=550+Bur+Oak+Ave%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "9249 9th Ln, Markham, ON, Canada", "190.9 cents", "0.8 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=9249+Ninth+Line%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "7750 McCowan Rd, Markham, ON, Canada", "190.9 cents", "6.2 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7750+McCowan+Rd%2C+Markham%2C+ON%2C+Canada"
"Esso", "380 Main St N, Markham, ON, Canada", "191.9 cents", "2.55 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=380+Main+St+N%2C+Markham%2C+ON%2C+Canada"
"Esso", "5995 Major Mackenzie Dr E, Markham, ON, Canada", "191.9 cents", "3.47 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5995+Major+Mackenzie+Dr+E%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "5315 Major Mackenzie Dr E, Markham, ON, Canada", "191.9 cents", "4.95 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5315+Major+Mackenzie+Dr+E%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "4780 Hwy 7 E, Markham, ON, Canada", "192.9 cents", "6.52 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=4780+Hwy+7+E%2C+Markham%2C+ON%2C+Canada"
"Shell", "8330 Kennedy Rd, Markham, ON, Canada", "192.9 cents", "7.0 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=8330+Kennedy+Rd%2C+Markham%2C+ON%2C+Canada"
"Petro-Canada", "7314 Markham Rd, Markham, ON, Canada", "194.9 cents", "5.53 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7314+Markham+Rd%2C+Markham%2C+ON%2C+Canada"
"Shell", "7828 9th Line, Markham, ON, Canada", "195.9 cents", "3.39 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=7828+Ninth+Line%2C+Markham%2C+ON%2C+Canada"
"Shell", "9270 McCowan Rd, Markham, ON, Canada", "199.9 cents", "4.66 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=9270+McCowan+Rd%2C+Markham%2C+ON%2C+Canada"
